id,no_serie,no_factura,fecha,nombre_del_cliente,NIT,direccion,cantidad,productos,precio,descuento,envio,total
26,10837,83664761,2020-07-14,Felicia Douglas,9870893998,8626 Smith Roads Apt. 678 Port Michaelport  TX 98099,6:1,Chocolate:Cremas para la piel,959.59:236.27,53.169297593209784,5.84,5946.48070240679
27,69054,51763239,2022-01-10,Timothy Reyes,9022500995,USCGC Schmidt FPO AA 98288,5:10,Jeans:Vino,210.0:740.9,212.66444389808447,15.24,8261.575556101916
28,79900,61336136,2023-02-24,Denise Collins,3397694807,29020 Danielle Circles Apt. 408 Port Jerry  FM 08219,1:7,Taladro:Muñeca,284.01:47.38,16.602274374056215,14.55,613.6177256259438
29,88147,27543536,2023-08-16,Heather Howard,1858924934,USNS Reynolds FPO AA 47531,9:10,Maceta:Novela,889.4:951.49,1281.1531693567254,22.41,16260.756830643275
30,74402,61382982,2021-03-11,Michael Miller,3735136024,2037 Megan Estate Apt. 420 East Maryborough  DE 37005,2:9,Biografía:Smartphone,613.3:940.43,601.3296231787263,13.29,9102.430376821274
31,27313,66263780,2023-04-11,Curtis Huang,2168077731,6405 Ortiz Unions Suite 832 Suzanneville  AR 40036,6:7,Pan:Tablet,921.1:397.13,421.8920269848113,10.82,7895.437973015189
32,95023,49885139,2019-11-16,Mr. Kevin Hinton,4637693994,Unit 1262 Box 9209 DPO AP 82867,7:6,Perfume:Camiseta,215.05:543.61,344.21332247383674,9.83,4432.626677526164
33,72269,64909493,2021-02-25,Kenneth Guerrero,1224817657,64819 Connie Road New Sherrytown  CO 51278,7:3,Tablet:Herramientas de jardinería,397.13:571.18,273.23573960290423,15.79,4236.004260397095
34,64200,76256080,2022-11-17,Lisa Gill,5438895236,24396 Ray Mount Suite 625 Mathisport  AZ 67292,10:2,Esmalte de uñas:Maceta,189.38:889.4,303.2440755940819,6.49,3375.8459244059177
35,31914,61083772,2023-04-02,Allison Salinas,8434716206,8150 Tanner Isle Jamesstad  MN 82918,3:6,Vestido:Tablet,530.67:397.13,240.69936200997358,12.68,3746.770637990026
36,83124,90651853,2022-11-18,Edward Rogers,8617156003,132 Stewart Keys Suite 875 Leeberg  AL 38108,1:5,Sierra:Taladro,102.97:284.01,33.45415397191852,19.35,1508.9158460280814
37,27166,42107365,2022-10-22,Julie Todd,8229823995,1982 Gray Flats Port Susan  MS 80919,10:7,Smartphone:Camiseta,940.43:543.61,1186.7320900710781,23.22,12046.05790992892
38,63172,27241125,2022-07-13,Ricardo Taylor,5705953864,PSC 9325  Box 4790 APO AA 58300,2:6,Sierra:Escritorio,102.97:912.26,218.88819011017551,18.52,5479.131809889824
39,44287,38123567,2021-01-06,Stacy Crawford,7649272971,1092 Brown Unions Suite 225 Wangmouth  MA 64900,10:9,Esmalte de uñas:Estantería,189.38:636.43,442.86037922167895,13.96,7192.769620778321
40,84691,30173068,2024-04-02,Laura Green,3383648659,07803 Victoria Court Apt. 449 West Joshuashire  PR 34841,10:5,Diccionario:Chocolate,956.02:959.59,1431.5066630419476,18.7,12945.343336958054
41,90204,46440199,2020-03-25,Brett Johnson,4406477135,048 Derek Mountains Apt. 685 Teresaville  OK 95404,2:8,Cámara:Regadera,565.53:805.3,107.04177266282646,10.21,7476.628227337173
42,85501,20410438,2020-05-29,Carlos Stone,4347751205,PSC 0389  Box 4482 APO AA 46514,7:10,Sofá:Maquillaje,313.68:497.45,459.09381851768126,11.2,6722.366181482319
43,17879,12030440,2019-04-24,Holly Jones,1977940344,74425 Juarez Manor Apt. 653 South Nancytown  MP 11120,10:7,Cremas para la piel:Coche de juguete,236.27:421.82,257.2820572043045,7.64,5065.797942795696
44,99912,39736864,2020-11-03,Traci Mason,4132910148,2450 Jonathan Unions East Karenborough  PA 37524,4:7,Maceta:Maquillaje,889.4:497.45,366.791745453897,5.4,6678.358254546102
45,39489,43501350,2020-11-29,Jose Bowman,4966585370,17223 Shane Causeway Suite 128 Mcmahonside  TN 49718,6:7,Semillas:Patines,529.28:237.45,335.74862410237483,20.0,4522.081375897626
46,53470,16971998,2019-06-08,Sandra Jones,9210364842,3962 Andre Cliff Apt. 497 Markstad  WA 65540,3:2,Balón de fútbol:Guía de viaje,498.7:369.8,109.16406569937499,10.21,2136.745934300625
47,86744,86972691,2023-11-07,Vincent Parker,9240105900,31527 Wilson Motorway North Jay  LA 04227,4:8,Sierra:Martillo,102.97:315.09,198.21156678037622,13.2,2747.5884332196233
48,32796,37649446,2023-06-20,Clarence Parker,9469095288,316 Glenn Harbor North Brianfurt  IA 40760,5:9,Laptop:Escritorio,364.26:912.26,176.12343428026108,17.54,9873.056565719739
49,84893,37747642,2022-07-26,Shawn Winters,9071751455,59096 Richard Field Ericaborough  OK 74536,2:5,Biografía:Chaqueta,613.3:941.34,41.05969044734877,18.18,5910.420309552651
50,25863,71074147,2022-07-12,Jacqueline Bush,9415035740,PSC 1574  Box 1598 APO AA 95180,1:4,Coche de juguete:Llave inglesa,421.82:799.56,225.31248048734827,12.61,3407.357519512652
51,85051,62732769,2020-09-05,Kathleen Sharp,4985770798,759 Perkins Tunnel Suite 517 Natashaton  FL 03373,8:9,Smartwatch:Semillas,208.54:529.28,239.5954225785361,10.37,6202.614577421463
52,83206,77030445,2024-04-05,Kendra Hernandez,4779480627,590 Burns Pass Apt. 683 Angelaberg  AR 37737,9:7,Equipo de natación:Queso,540.42:721.62,136.29599460960472,16.31,9795.134005390393
53,95042,88925716,2022-11-20,Michael Thomas,2317154870,4585 Nancy Rue Bakerburgh  VI 23189,4:7,Destornillador:Chocolate,443.45:959.59,40.401560630124266,23.62,8474.148439369877
54,38261,29547104,2020-03-13,Gina Contreras,4182690633,936 Moore Mountains Shawfort  OK 27145,10:4,Zapatos:Esmalte de uñas,903.91:189.38,451.63293353003996,22.69,9367.677066469962
55,24090,13544969,2022-04-23,Makayla Nunez,7269097529,94765 Davis Isle Danielville  SD 03483,1:3,Diccionario:Diccionario,956.02:956.02,261.6457372593782,13.03,3575.464262740622
56,26933,16637110,2020-12-14,Joseph Sanders,5740395628,Unit 2057 Box 2810 DPO AE 71558,5:10,Estantería:Muñeca,636.43:47.38,221.25953344288675,16.47,3451.160466557113
57,60565,31065577,2022-03-24,Kimberly Vasquez,7625356923,4433 Martinez Points Apt. 935 Anneside  AL 42625,5:2,Raqueta de tenis:Queso,62.59:721.62,60.28188348988254,13.37,1709.2781165101173
58,47815,62614576,2020-10-07,Wendy Dunn,2996480275,718 Kathryn Parks Port Thomasstad  DE 87178,6:7,Mesa de comedor:Llave inglesa,444.93:799.56,554.9940447925388,10.95,7722.455955207461
59,67177,26423430,2022-09-09,Teresa Stephens,6702280276,338 Sarah Corner Martinstad  OK 39207,4:6,Maquillaje:Fertilizante,497.45:231.17,17.808788378371442,10.53,3369.5412116216285
60,90476,71697830,2020-06-27,Michelle Burke,3603378647,75961 Howe Squares New Travis  LA 12532,1:6,Zapatos:Patines,903.91:237.45,222.25194623832132,8.85,2115.2080537616785
61,24678,47154102,2022-07-19,Michael Weaver,5570523731,373 Greer Greens Nicolebury  PA 51251,1:5,Maceta:Biografía,889.4:613.3,237.86285228182507,6.09,3724.1271477181754
62,37622,68069156,2020-12-12,Dr. Jessica Mills,8298946309,94727 Hutchinson Junctions Baileymouth  PA 88968,10:5,Juego de mesa:Coche de juguete,111.05:421.82,244.85682158460102,5.46,2980.2031784153987
63,99009,88243882,2022-07-15,Christian Flores,4970992771,33900 Catherine Bridge Apt. 695 Rebeccamouth  AK 80621,8:10,Chocolate:Tablet,959.59:397.13,910.3954775415673,18.52,10756.144522458433
64,71206,82895484,2020-06-09,Michael Jones,2637495772,0930 Griffin Club Suite 432 Lake Linda  IN 70518,3:5,Mesa de comedor:Smartphone,444.93:940.43,517.4225446361332,7.37,5526.887455363866
65,16086,70089013,2023-11-01,William Aguilar,3929822808,70244 Ricky Ramp Apt. 278 Lake Christinemouth  LA 70251,8:6,Mesa de comedor:Cámara,444.93:565.53,429.3858809707997,21.16,6544.3941190292
66,75566,67275628,2020-04-17,Ryan Jackson,2209556550,USS Stevens FPO AE 44609,5:1,Chaqueta:Vino,941.34:740.9,148.00168028616596,24.56,5324.158319713834
67,15601,11563016,2023-09-16,Theresa Jackson,4234552311,61736 Hunter Crescent New Christianburgh  WI 23836,1:4,Tablet:Laptop,397.13:364.26,109.82550718418405,7.28,1751.624492815816
68,80842,49471208,2022-01-03,Gina Marshall,2366664732,795 Victor Lane Apt. 595 East Linda  MP 89193,10:9,Queso:Mesa de comedor,721.62:444.93,551.3503970786318,22.05,10691.269602921368
69,10092,21264891,2021-04-14,Kevin Huang,9403856200,264 Johnston Camp Lake Kyletown  NY 41854,3:5,Cremas para la piel:Coche de juguete,236.27:421.82,45.727987064784514,10.47,2782.652012935215
70,55414,23624351,2020-06-26,Dana Holland,3569501659,98343 Vincent Rue Apt. 767 Tiffanyside  VI 68105,1:10,Fertilizante:Patines,231.17:237.45,93.84464091385853,11.96,2523.7853590861414
71,39155,10770768,2019-09-19,Tiffany Murray,8300114372,29284 Rivas Trace New Kyleport  MN 96638,7:10,Estantería:Maquillaje,636.43:497.45,341.1280407092784,10.11,9098.49195929072
72,16736,18930586,2021-02-26,Lisa Gray,2417142201,7624 Christopher Locks Grimesberg  NV 80233,7:1,Guía de viaje:Coche de juguete,369.8:421.82,0.32398174311854944,19.37,3029.4660182568814
73,93440,75805593,2020-07-04,Melissa Cox,8576850268,1911 Lori Orchard West Cynthia  NJ 87857,7:8,Zapatos:Diccionario,903.91:956.02,435.258655465099,8.87,13549.1413445349
74,67572,35166769,2021-08-15,Kendra Jones,8736134915,99942 Alice Burg Apt. 001 Richardsonville  PW 81793,5:2,Semillas:Cremas para la piel,529.28:236.27,234.0389271417379,11.15,2896.0510728582617
75,64690,74535932,2022-08-27,Janice Baker,3943586092,83875 Dustin Rapids Tylermouth  KY 55248,1:6,Raqueta de tenis:Balón de fútbol,62.59:498.7,10.147926096580248,23.49,3068.1320739034195
76,72609,10090345,2020-05-24,Maria Hall,7253943518,650 Daniel Land Shannonfurt  FM 21006,9:1,Zapatos:Rompecabezas,903.91:222.97,814.7310961386215,12.99,7556.418903861379
77,41125,26829331,2021-08-22,Morgan Hernandez,2504631318,91131 Jennifer Viaduct Mercedesberg  MP 72654,3:5,Maceta:Rompecabezas,889.4:222.97,313.4364482439376,21.23,3490.843551756062
78,56370,39792965,2019-11-19,Ashley Haynes,3748730569,188 Kevin Loaf Brianborough  WY 49451,2:3,Taladro:Raqueta de tenis,284.01:62.59,65.7555163548802,17.83,707.8644836451198
79,37776,61770675,2020-06-06,Stephanie Nguyen,9574058016,126 Barnett Way New Daniel  PR 37069,9:10,Camiseta:Fertilizante,543.61:231.17,401.60957329588103,9.77,6812.350426704119
80,11335,59552131,2021-05-11,Elizabeth Barton,8146956665,400 Kristina Glens West Laura  NJ 68639,3:5,Rompecabezas:Smartwatch,222.97:208.54,69.92537944449568,15.44,1657.1246205555044
81,95053,68427412,2022-06-12,Erica Jimenez MD,6956967151,41533 Brown Trace Apt. 794 East Virginiachester  GA 87456,9:1,Herramientas de jardinería:Vestido,571.18:530.67,430.17389686600757,6.13,5247.246103133993
82,56768,77640172,2023-10-15,Heather Carroll,5044026739,103 Waller Overpass New Brendafurt  WY 81504,10:8,Juego de mesa:Poesía,111.05:640.7,418.407238168302,21.16,5838.852761831698
83,79167,70498739,2022-09-26,Jonathon Christian,1334455271,7434 Brandon Track Apt. 364 Thomasland  IN 95863,4:2,Guantes de boxeo:Escritorio,19.46:912.26,95.26915933526419,12.83,1819.9208406647356
84,48970,31474875,2022-11-20,Adam Stuart,4970566440,029 Lee Heights South Phillip  MA 03701,8:6,Smartphone:Esmalte de uñas,940.43:189.38,30.40725270189383,5.24,8634.552747298105
85,74886,11186808,2022-02-09,Brenda Moore,1701690824,1785 Price Well Nicholasland  FL 16070,9:7,Destornillador:Destornillador,443.45:443.45,676.7669524885985,6.05,6424.483047511401
86,25327,66459160,2023-02-21,Derek Franklin,1021259251,6402 Todd Way Apt. 908 Lake Roger  SC 44285,3:8,Silla:Laptop,227.02:364.26,314.45674075841765,24.72,3305.403259241582
87,87552,82625473,2019-10-15,Nicholas Robinson,2197233441,70907 Brewer Road Suite 410 South Amyshire  UT 64729,8:3,Silla:Zapatos,227.02:903.91,147.48887098841956,10.58,4390.98112901158
88,48248,25620740,2023-06-27,Timothy Todd,2617900320,USS Mckinney FPO AA 92376,9:9,Laptop:Raqueta de tenis,364.26:62.59,131.5890030913202,6.91,3716.97099690868
89,62302,22562488,2021-01-20,David Vance,1472436908,037 Ochoa Extension Suite 884 East Jaimemouth  TX 36440,8:4,Rompecabezas:Balón de fútbol,222.97:498.7,248.46850443863144,11.07,3541.1614955613686
90,85731,34688244,2022-05-31,Kristy Andrews,6213254558,5696 Watkins Overpass Reidton  NC 29369,8:7,Tablet:Juego de mesa,397.13:111.05,34.845637493910324,6.54,3926.0843625060893
91,41845,31022448,2019-10-31,Amanda Johnson,1109673458,13825 Hill Junctions Port Peterchester  KS 37143,6:2,Biografía:Laptop,613.3:364.26,134.26120086773003,13.9,4287.95879913227
92,65620,94654307,2020-02-06,John Nixon,9405221221,67541 Stephens Keys West Ericshire  HI 51821,10:2,Maceta:Estantería,889.4:636.43,161.78595533033297,6.94,10012.014044669668
93,17439,37310070,2020-02-10,Gina Mckinney,5213789611,0253 Paul Plain Haydenside  AS 78484,4:1,Queso:Zapatos,721.62:903.91,197.49637499990436,9.41,3602.3036250000955
94,31196,17839363,2020-09-03,Melanie Barber,8152028134,14765 Moon Pines Suite 478 South Michael  IA 67142,3:9,Cámara:Regadera,565.53:805.3,809.5793221932221,13.6,8148.310677806778
95,86174,92385223,2021-05-15,Anne Henry,1335280477,67156 Davis Prairie Apt. 756 Shaneport  AK 53908,8:3,Cremas para la piel:Smartphone,236.27:940.43,212.47541307412723,7.12,4506.094586925872
96,52397,80928604,2019-09-28,Tyler Thompson Jr.,1743585068,90351 Williams Springs Apt. 529 Carterstad  IN 03129,6:5,Pan:Sofá,921.1:313.68,72.87517793685083,10.92,7033.04482206315
97,96581,35575402,2024-03-23,Bethany Taylor,1960959084,0663 Vaughn Village Port Bethany  OR 27325,3:5,Guantes de boxeo:Silla,19.46:227.02,27.589791842301526,24.42,1190.3102081576988
98,57980,31964571,2019-10-20,Samuel Campbell,1692304758,5882 Wilson Summit Apt. 637 South Jenna  WA 11040,9:5,Rompecabezas:Taladro,222.97:284.01,231.53004614956603,15.69,3210.9399538504335
99,19406,75444071,2019-08-26,Judy Wolf,1984389805,556 Rebecca Isle Mitchellview  KS 06910,10:5,Biografía:Biografía,613.3:613.3,730.7848226839438,20.51,8489.225177316057
100,72072,28815938,2020-06-09,Morgan Reynolds,9314881579,60535 Chandler Landing Port James  FM 66332,4:2,Muñeca:Fruta,47.38:186.35,47.243351722685986,21.63,536.6066482773141
101,54213,13326559,2020-10-30,Eric Brown,9380129494,Unit 9596 Box 6948 DPO AE 76448,3:7,Llave inglesa:Fruta,799.56:186.35,11.780625372517383,13.12,3704.4693746274825
102,52440,72707352,2023-02-05,Ms. Tina Shelton,7262395903,1521 Ellis Skyway Suite 572 Port Mary  AS 98638,3:7,Laptop:Mesa de comedor,364.26:444.93,348.36158800133313,23.97,3882.8984119986667
103,75927,80687901,2021-03-15,Stacey Smith,1539961323,53561 Chung Squares Suite 834 North Andreafurt  TX 05503,9:6,Equipo de natación:Vestido,540.42:530.67,83.55253125554668,15.77,7980.017468744453
104,86191,60890720,2022-09-25,Lisa Willis,9528882003,9308 Moore Isle Markfurt  RI 28423,5:5,Smartphone:Sofá,940.43:313.68,556.2031707478201,24.51,5738.8568292521795
105,98864,10843200,2022-05-11,Michael Williams,7359253257,216 Kelly Flats North Paul  TN 96196,6:8,Sofá:Raqueta de tenis,313.68:62.59,92.88038393945618,20.0,2309.919616060544
106,77021,23201612,2022-10-13,Thomas Campbell,7117989630,383 Brown Light Schneiderstad  NE 96642,3:2,Poesía:Raqueta de tenis,640.7:62.59,49.22358110859679,16.55,2014.6064188914033
107,29105,39219130,2020-02-05,Aaron Pearson,6146865168,69926 Jessica Spur North Jennifer  OH 09925,3:7,Smartphone:Smartwatch,940.43:208.54,182.38138421833204,17.83,4116.518615781668
108,27406,24090253,2023-01-05,Brian Long,9066357606,09440 Bernard Shoal Lake Kyleville  DC 49628,2:8,Smartphone:Silla,940.43:227.02,338.6171460765489,16.4,3374.802853923451
109,44805,12145595,2020-07-20,Julie Herrera,6412833029,09178 Newton Center Apt. 992 East Franklinfort  IN 49983,9:2,Maceta:Cámara,889.4:565.53,458.0320630754793,11.79,8689.417936924521
110,57604,44277295,2024-02-08,Patricia Martinez,6119778173,7944 Fisher Flats Crawfordberg  PR 35671,4:10,Regadera:Fruta,805.3:186.35,15.715540704330412,22.78,5091.764459295669
111,50294,44248030,2022-06-05,April Keller,2887631974,630 Frances Trafficway Reyesland  OR 73376,8:3,Regadera:Fertilizante,805.3:231.17,47.56888865411751,23.94,7112.281111345882
112,18795,67875704,2023-08-29,Casey Pennington,6537832200,USCGC Sanchez FPO AE 22109,4:10,Taladro:Semillas,284.01:529.28,373.4937768912702,14.54,6069.886223108729
113,52912,68849632,2024-01-29,John Perry,8302979508,41863 Victor Groves Alexanderborough  MI 99353,8:7,Sofá:Cámara,313.68:565.53,300.9781083707539,18.31,6185.481891629246
114,31787,68843706,2019-11-03,Justin Smith,3905771258,647 Castillo Ferry Suite 105 North Charles  KY 72707,10:3,Regadera:Silla,805.3:227.02,747.5843493766474,14.46,8000.935650623352
115,10919,68380291,2023-01-14,Michael Olson,4350642079,6314 Sherry Estates Lake Jennifershire  WA 55884,7:5,Juego de mesa:Sofá,111.05:313.68,232.42316043905396,21.18,2134.506839560946
116,60428,17356861,2021-05-31,Heather Alexander,5389137752,42922 Felicia Loaf East Cathy  MD 27375,2:1,Escritorio:Zapatos,912.26:903.91,265.6655914248733,12.79,2475.5544085751267
117,53513,97024198,2023-11-12,Mary Perkins,6558640419,11677 Wolf Forge Suite 034 Blackstad  VT 58571,4:9,Pan:Llave inglesa,921.1:799.56,810.1248721792091,15.55,10085.865127820789
118,44170,65711507,2020-12-18,Valerie Mercer,9465479381,36463 Lindsey Well Apt. 094 Millerview  MD 93984,1:5,Herramientas de jardinería:Vestido,571.18:530.67,297.380711443719,14.67,2941.8192885562808
119,42246,14266308,2019-09-06,Joseph Mccarty,7459220238,USS Wilson FPO AA 76940,10:1,Escritorio:Chaqueta,912.26:941.34,391.33897846150694,11.75,9684.351021538494
120,69678,91176236,2022-03-26,Cynthia Ritter,6313682307,092 Logan Overpass Bradberg  IL 20818,8:10,Regadera:Queso,805.3:721.62,266.7851152656524,6.83,13398.644884734345
121,23395,61891651,2021-01-21,Nicholas Griffin,1769180960,5497 Hill Mission South Matthew  FL 64858,8:5,Guantes de boxeo:Cámara,19.46:565.53,141.0433851372839,17.08,2859.3666148627153
122,89843,77459321,2022-05-23,George Winters,3977216129,21446 Thompson Harbors Suite 425 Andrewsfort  MO 18095,2:10,Raqueta de tenis:Chaqueta,62.59:941.34,80.01815831623824,17.09,9475.651841683763
123,17241,82139615,2023-03-24,Andrea Torres,7591727283,51429 Ross Inlet Suite 188 East Ginaville  OR 29987,6:5,Mesa de comedor:Fruta,444.93:186.35,124.64801503085931,19.31,3495.9919849691405
124,67509,46032600,2022-09-24,Nancy Fleming,8779546515,9693 Roman Cape Apt. 244 South Travis  WA 12166,3:4,Perfume:Juego de mesa,215.05:111.05,96.75625829583777,15.79,1008.3837417041623
125,66826,49130707,2020-03-28,William Stephens,2416444480,08107 Lori Canyon Marvinmouth  MP 17426,5:10,Smartphone:Sierra,940.43:102.97,436.39459605453703,13.38,5308.8354039454625
126,90159,27587544,2022-12-05,Charlotte Palmer,9637407233,3617 Alejandro Extension Sheppardport  MA 26142,6:2,Pelota:Poesía,167.61:640.7,110.89822299921245,8.99,2185.1517770007877
127,66388,18656996,2022-09-25,Maxwell Young,6120978049,5078 Susan Manor West Angela  AL 74914,4:6,Tablet:Vestido,397.13:530.67,197.40927415365596,21.34,4596.470725846343
128,80642,79733159,2019-05-14,Dana Rush,1288834780,7006 Young Shore Apt. 436 Latashahaven  CA 75235,1:6,Chaqueta:Balón de fútbol,941.34:498.7,27.286695938258312,20.43,3926.6833040617416
129,13692,42295815,2023-03-14,Taylor Anderson,8575486058,850 Castillo Mission Berryhaven  FL 73105,8:10,Cremas para la piel:Herramientas de jardinería,236.27:571.18,339.57308508717523,24.36,7286.746914912824
130,75411,78046610,2019-05-18,Brian Martin,6462143579,66021 Johnson Island Apt. 126 Jessicafurt  AK 63387,5:4,Novela:Diccionario,951.49:956.02,351.80148379007676,10.56,8240.288516209921
131,13499,99100251,2019-11-15,Aaron Atkinson,1584766137,4909 Spencer Club Ryanton  PA 94111,9:2,Smartwatch:Guía de viaje,208.54:369.8,39.68617964587889,7.49,2584.263820354121
132,39975,63106847,2022-04-28,Mark Archer,5800728967,1905 Cassandra Meadows Suite 891 Lewismouth  NJ 30086,10:7,Novela:Tablet,951.49:397.13,237.4384981746759,7.74,12065.111501825324
133,38092,10107945,2021-10-06,Joanne Morris,7677844050,8489 Alexander Village Suite 193 Davidview  VI 19533,2:9,Herramientas de jardinería:Martillo,571.18:315.09,296.09129293829335,8.4,3690.4787070617067
134,27450,71963588,2020-09-29,Paul Green,9075647709,Unit 5474 Box 8177 DPO AP 19531,8:2,Queso:Escritorio,721.62:912.26,749.7873112479524,8.09,6855.782688752048
135,66465,14169149,2022-05-01,Pamela Armstrong,5345981098,2761 Hoffman Falls Smithburgh  KS 73655,5:9,Escritorio:Llave inglesa,912.26:799.56,259.4726811558342,17.93,11515.797318844167
136,29844,39122545,2023-01-07,Jerry Miller,1926863626,926 Matthew Bypass Apt. 648 Melissaside  FM 25718,7:6,Chaqueta:Vino,941.34:740.9,879.2220356376214,14.55,10170.107964362376
137,75146,53365131,2023-05-01,Charles Saunders,3874526465,03509 Campbell Highway Suite 750 East Ericchester  NJ 68791,10:6,Herramientas de jardinería:Esmalte de uñas,571.18:189.38,454.12791207267594,21.86,6415.812087927323
138,76236,67521534,2021-10-16,Shannon Kaiser,2494986129,49928 Smith Curve Port Mariomouth  ME 72814,7:1,Zapatos:Camiseta,903.91:543.61,466.7715744083704,22.81,6427.018425591629
139,70176,61166812,2020-10-08,Joshua Jones,2484239708,357 Lynn Crossroad Suite 003 South Darren  IL 69418,8:9,Vestido:Vino,530.67:740.9,569.7497458402908,6.02,10349.73025415971
140,99149,45503940,2021-11-19,Julie Guzman,5948652578,308 Patterson Stravenue Apt. 933 East Kristinville  NJ 25125,3:5,Chaqueta:Martillo,941.34:315.09,331.24596461825604,11.25,4079.4740353817433
